classes,paths
diarios,dataset/CIÊNCIAS (QUÍMICA E FÍSICA)/Diários/2005.2/maxdesk.ini2
diarios,dataset/CIÊNCIAS (QUÍMICA E FÍSICA)/Diários/2005.2/METODOLOGIA DO ENSINO DE CIÊNCIAS.pdf
diarios,dataset/CIÊNCIAS (QUÍMICA E FÍSICA)/Diários/2005.2/METODOLOGIA DO ENSINO DE COENCIAS.pdf
diarios,dataset/CIÊNCIAS (QUÍMICA E FÍSICA)/Diários/2005.2/PP11Thumbs.ptn
diarios,dataset/CIÊNCIAS (QUÍMICA E FÍSICA)/Diários/2005.2/PP11Thumbs.ptn2
diarios,dataset/CIÊNCIAS (QUÍMICA E FÍSICA)/Diários/2005.2/PRATICA DE ENSINO I.pdf
diarios,dataset/CIÊNCIAS (QUÍMICA E FÍSICA)/Diários/2005.2/PRÁTICA DE ENSINO I.pdf
diarios,dataset/CIÊNCIAS (QUÍMICA E FÍSICA)/Diários/2006.1/.ppinfocache
diarios,dataset/CIÊNCIAS (QUÍMICA E FÍSICA)/Diários/2006.1/ELETROMAGNETISMO.pdf
diarios,dataset/CIÊNCIAS (QUÍMICA E FÍSICA)/Diários/2006.1/ELETROMAGNETÍSMO.pdf
diarios,dataset/CIÊNCIAS (QUÍMICA E FÍSICA)/Diários/2006.1/ELETROMAGNÉTISMO.pdf
diarios,dataset/CIÊNCIAS (QUÍMICA E FÍSICA)/Diários/2006.1/INTRODUÇÃO AO ELETROMAGNETISMO.pdf
diarios,dataset/CIÊNCIAS (QUÍMICA E FÍSICA)/Diários/2006.1/MaxDesk.ini
diarios,dataset/CIÊNCIAS (QUÍMICA E FÍSICA)/Diários/2006.1/maxdesk.ini2
diarios,dataset/CIÊNCIAS (QUÍMICA E FÍSICA)/Diários/2006.1/METODOLOGIA DO ENSINO DA FÍSICA..pdf
diarios,dataset/CIÊNCIAS (QUÍMICA E FÍSICA)/Diários/2006.1/METODOLOGIA DO ENSINO DA FÍSICA.pdf
diarios,dataset/CIÊNCIAS (QUÍMICA E FÍSICA)/Diários/2006.1/PP11Thumbs.ptn
diarios,dataset/CIÊNCIAS (QUÍMICA E FÍSICA)/Diários/2006.1/PP11Thumbs.ptn2
diarios,dataset/CIÊNCIAS (QUÍMICA E FÍSICA)/Diários/2006.1/PRÁTICA DO ENSINO II.pdf
diarios,dataset/CIÊNCIAS (QUÍMICA E FÍSICA)/Diários/2006.2/.ppinfocache
diarios,dataset/CIÊNCIAS (QUÍMICA E FÍSICA)/Diários/2006.2/MaxDesk.ini
diarios,dataset/CIÊNCIAS (QUÍMICA E FÍSICA)/Diários/2006.2/maxdesk.ini2
diarios,dataset/CIÊNCIAS (QUÍMICA E FÍSICA)/Diários/2006.2/PP11Thumbs.ptn
diarios,dataset/CIÊNCIAS (QUÍMICA E FÍSICA)/Diários/2006.2/PP11Thumbs.ptn2
diarios,dataset/CIÊNCIAS (QUÍMICA E FÍSICA)/Diários/2006.2/TERMODINAMICA.pdf
diarios,dataset/CIÊNCIAS (QUÍMICA E FÍSICA)/Diários/2006.2/TERMODINÂMICA.pdf
diarios,dataset/CIÊNCIAS E INFORMÁTICA/Diários/2000.1/CÁLCULO I.pdf
diarios,dataset/CIÊNCIAS E INFORMÁTICA/Diários/2000.1/ESTRUTURA E FUNCIONAMENTO DA EDUCAÇÃO BÁSICA.pdf
diarios,dataset/CIÊNCIAS E INFORMÁTICA/Diários/2000.1/FÍSICA I.pdf
diarios,dataset/CIÊNCIAS E INFORMÁTICA/Diários/2000.1/PP11Thumbs.ptn
diarios,dataset/CIÊNCIAS E INFORMÁTICA/Diários/2000.1/QUÍMICA GERAL.pdf
diarios,dataset/CIÊNCIAS E INFORMÁTICA/Diários/2000.2/.ppinfocache
diarios,dataset/CIÊNCIAS E INFORMÁTICA/Diários/2000.2/CÁLCULO II.pdf
diarios,dataset/CIÊNCIAS E INFORMÁTICA/Diários/2000.2/maxdesk.ini2
diarios,dataset/CIÊNCIAS E INFORMÁTICA/Diários/2000.2/QUÍMICA GERAL II.pdf
diarios,dataset/CIÊNCIAS E INFORMÁTICA/Diários/2001.1/.ppinfocache
diarios,dataset/CIÊNCIAS E INFORMÁTICA/Diários/2001.1/DIDÁTICA.pdf
diarios,dataset/CIÊNCIAS E INFORMÁTICA/Diários/2001.1/FÍSICA III.pdf
diarios,dataset/CIÊNCIAS E INFORMÁTICA/Diários/2001.1/INTRODUÇÃO A INFORMÁTICA.pdf
diarios,dataset/CIÊNCIAS E INFORMÁTICA/Diários/2001.1/PP11Thumbs.ptn
diarios,dataset/CIÊNCIAS E INFORMÁTICA/Diários/2001.1/ÁLGEBRA LINEAR E GEOMETRIA ANALÍTICA.pdf
diarios,dataset/CIÊNCIAS E INFORMÁTICA/Diários/2001.2/DIDÁTICA.pdf
diarios,dataset/CIÊNCIAS E INFORMÁTICA/Diários/2001.2/PP11Thumbs.ptn
diarios,dataset/CIÊNCIAS E INFORMÁTICA/Diários/2001.2/PROGRAMAÇÃO..pdf
diarios,dataset/CIÊNCIAS E INFORMÁTICA/Diários/2001.2/PROGRAMAÇÃO.pdf
diarios,dataset/CIÊNCIAS E INFORMÁTICA/Diários/2001.2/PSICOLOGIA DA EDUCAÇÃO .pdf
diarios,dataset/CIÊNCIAS E INFORMÁTICA/Diários/2001.2/PSICOLOGIA DA EDUCAÇÃO.pdf
diarios,dataset/CIÊNCIAS E INFORMÁTICA/Diários/2001.2/QUÍMICA ORGANICA I.pdf
diarios,dataset/CIÊNCIAS E INFORMÁTICA/Diários/2001.2/QUÍMICA ORGÂNICA I.pdf
diarios,dataset/CIÊNCIAS E INFORMÁTICA/Diários/2002.1/.ppinfocache
diarios,dataset/CIÊNCIAS E INFORMÁTICA/Diários/2002.1/ESTRUTURA DE DADOS.pdf
diarios,dataset/CIÊNCIAS E INFORMÁTICA/Diários/2002.1/FÍSICA III.pdf
diarios,dataset/CIÊNCIAS E INFORMÁTICA/Diários/2002.1/METODOLOGIA DO ENSINO DE CIENCIAS.pdf
diarios,dataset/CIÊNCIAS E INFORMÁTICA/Diários/2002.1/PP11Thumbs.ptn
diarios,dataset/CIÊNCIAS E INFORMÁTICA/Diários/2002.1/PROBABILIDADE E ESTATÍSTICA.pdf
diarios,dataset/CIÊNCIAS E INFORMÁTICA/Diários/2002.2/FÍSICA IV.pdf
diarios,dataset/CIÊNCIAS E INFORMÁTICA/Diários/2002.2/FÍSICO-QUÍMICA.pdf
diarios,dataset/CIÊNCIAS E INFORMÁTICA/Diários/2002.2/PP11Thumbs(1).ptn
diarios,dataset/CIÊNCIAS E INFORMÁTICA/Diários/2002.2/PP11Thumbs.ptn
diarios,dataset/CIÊNCIAS E INFORMÁTICA/Diários/2002.2/PSICOLOGIA DA EDUCAÇÃO.pdf
diarios,dataset/CIÊNCIAS E INFORMÁTICA/Diários/2003.1/.ppinfocache
diarios,dataset/CIÊNCIAS E INFORMÁTICA/Diários/2003.1/ARQUITETURA E ORGANIZAÇÃO DE COMPUTADORES I.pdf
diarios,dataset/CIÊNCIAS E INFORMÁTICA/Diários/2003.1/FÍSICA III.pdf
diarios,dataset/CIÊNCIAS E INFORMÁTICA/Diários/2003.1/FÍSICA V.pdf
diarios,dataset/CIÊNCIAS E INFORMÁTICA/Diários/2003.1/PP11Thumbs(1).ptn
diarios,dataset/CIÊNCIAS E INFORMÁTICA/Diários/2003.1/PP11Thumbs.ptn
diarios,dataset/CIÊNCIAS E INFORMÁTICA/Diários/2003.1/QUÍMICA INORGÂRNICA.pdf
diarios,dataset/CIÊNCIAS E INFORMÁTICA/Diários/2003.1/QUÍMICA ORGÂNICA II.pdf
diarios,dataset/CIÊNCIAS E INFORMÁTICA/Diários/2003.1/REDES DE COMPUTADORES I.pdf
diarios,dataset/CIÊNCIAS E INFORMÁTICA/Diários/2004.2/PSICOLOGIA DA EDUCAÇÃO.pdf
diarios,dataset/Ciências Jurídicas/Diários/2000.1/Direito Administrativo II.pdf
diarios,dataset/Ciências Jurídicas/Diários/2000.1/Direito Agrário.pdf
diarios,dataset/Ciências Jurídicas/Diários/2000.1/Direito Civil Avançado.pdf
diarios,dataset/Ciências Jurídicas/Diários/2000.1/Direito Comercial I.pdf
diarios,dataset/Ciências Jurídicas/Diários/2000.1/Direito Comercial III.pdf
diarios,dataset/Ciências Jurídicas/Diários/2000.1/Direito Constitucional III.pdf
diarios,dataset/Ciências Jurídicas/Diários/2000.1/Direito Contratual II.pdf
diarios,dataset/Ciências Jurídicas/Diários/2000.1/Direito Penal II.pdf
diarios,dataset/Ciências Jurídicas/Diários/2000.1/Direito Processual Civil II.pdf
diarios,dataset/Ciências Jurídicas/Diários/2000.1/Direito Processual Penal I.pdf
diarios,dataset/Ciências Jurídicas/Diários/2000.1/Direito Romano.pdf
diarios,dataset/Ciências Jurídicas/Diários/2000.1/Direito Tributário.pdf
diarios,dataset/Ciências Jurídicas/Diários/2000.1/Diretio do Trabalho II.pdf
diarios,dataset/Ciências Jurídicas/Diários/2000.1/Economia Politica.pdf
diarios,dataset/Ciências Jurídicas/Diários/2000.1/Hermenêutica Jurídica.pdf
diarios,dataset/Ciências Jurídicas/Diários/2000.1/Introdução ao Estudo do Direito.pdf
diarios,dataset/Ciências Jurídicas/Diários/2000.1/Prática do Direito Civil.pdf
diarios,dataset/Ciências Jurídicas/Diários/2000.1/Prática do Direito Penal.pdf
diarios,dataset/Ciências Jurídicas/Diários/2000.1/Responsabilidade Civil.pdf
diarios,dataset/Ciências Jurídicas/Diários/2000.1/Sociologia Geral.pdf
diarios,dataset/Ciências Jurídicas/Diários/2000.2/Direito Bancário.pdf
diarios,dataset/Ciências Jurídicas/Diários/2000.2/Direito Comercial II.pdf
diarios,dataset/Ciências Jurídicas/Diários/2000.2/Direito Constitucional II.pdf
diarios,dataset/Ciências Jurídicas/Diários/2000.2/Direito das Coisas.pdf
diarios,dataset/Ciências Jurídicas/Diários/2000.2/Direito das Sucessões.pdf
diarios,dataset/Ciências Jurídicas/Diários/2000.2/Direito Penal I.pdf
diarios,dataset/Ciências Jurídicas/Diários/2000.2/Direito Penal III.pdf
diarios,dataset/Ciências Jurídicas/Diários/2000.2/Direito Processual Civil I.pdf
diarios,dataset/Ciências Jurídicas/Diários/2000.2/Diretio Penal I.pdf
diarios,dataset/Ciências Jurídicas/Diários/2000.2/Filosofia do Direito.pdf
diarios,dataset/Ciências Jurídicas/Diários/2000.2/Monografia.pdf
diarios,dataset/Ciências Jurídicas/Diários/2000.2/Prática do Direito Administrativo.pdf
diarios,dataset/Ciências Jurídicas/Diários/2000.2/Prática do Direito Civil.pdf
diarios,dataset/Ciências Jurídicas/Diários/2000.2/Prática do Direito do Trabalho.pdf
diarios,dataset/Ciências Jurídicas/Diários/2000.2/Sociologia Juridica.pdf
diarios,dataset/Ciências Jurídicas/Diários/2000.3/Direito Comercial II Bloco 06.pdf
diarios,dataset/Ciências Jurídicas/Diários/2000.3/Direito Comercial III.pdf
diarios,dataset/Ciências Jurídicas/Diários/2000.3/Direito Processual Penal II.pdf
diarios,dataset/Ciências Jurídicas/Diários/2000.3/Direitos das Obrigações.pdf
diarios,dataset/Ciências Jurídicas/Diários/2000.3/Diretio Processual Civil Bloco 05.pdf
diarios,dataset/Ciências Jurídicas/Diários/2000.3/Teoria Geral do Direito CIvil.pdf
diarios,dataset/Ciências Jurídicas/Diários/2001.1/Direieto da Familia.pdf
diarios,dataset/Ciências Jurídicas/Diários/2001.1/Direito Administrativo II.pdf
diarios,dataset/Ciências Jurídicas/Diários/2001.1/Direito Agrário.pdf
diarios,dataset/Ciências Jurídicas/Diários/2001.1/Direito Civil Avançado.pdf
diarios,dataset/Ciências Jurídicas/Diários/2001.1/Direito Constitucional III.pdf
diarios,dataset/Ciências Jurídicas/Diários/2001.1/Direito da Familia.pdf
diarios,dataset/Ciências Jurídicas/Diários/2001.1/Direito do Trabalho II.pdf
diarios,dataset/Ciências Jurídicas/Diários/2001.1/Direito Internacional Público.pdf
diarios,dataset/Ciências Jurídicas/Diários/2001.1/Direito Processual Civil III.pdf
diarios,dataset/Ciências Jurídicas/Diários/2001.1/Direito Processual Penal I.pdf
diarios,dataset/Ciências Jurídicas/Diários/2001.1/Direito Tributário.pdf
diarios,dataset/Ciências Jurídicas/Diários/2001.1/Economia Politica.pdf
diarios,dataset/Ciências Jurídicas/Diários/2001.1/Filosofia Geral.pdf
diarios,dataset/Ciências Jurídicas/Diários/2001.1/Hermenêutica Jurídica.pdf
diarios,dataset/Ciências Jurídicas/Diários/2001.1/Metodologia da Pesquisa - Geral e Jurídica.pdf
diarios,dataset/Ciências Jurídicas/Diários/2001.1/Prática do Direito Civil.pdf
diarios,dataset/Ciências Jurídicas/Diários/2001.1/Prática do Direito Penal.pdf
diarios,dataset/Ciências Jurídicas/Diários/2001.1/Responsabilidade Civil.pdf
diarios,dataset/Ciências Jurídicas/Diários/2001.1/Sociologia.pdf
diarios,dataset/Ciências Jurídicas/Diários/2001.1/Teoria Geral do Processo.pdf
diarios,dataset/Ciências Jurídicas/Diários/2001.2/Ciências Politicas.pdf
diarios,dataset/Ciências Jurídicas/Diários/2001.2/Direito Administrativo.pdf
diarios,dataset/Ciências Jurídicas/Diários/2001.2/Direito Bancário.pdf
diarios,dataset/Ciências Jurídicas/Diários/2001.2/Direito Comercial II.pdf
diarios,dataset/Ciências Jurídicas/Diários/2001.2/Direito Constitucional II.pdf
diarios,dataset/Ciências Jurídicas/Diários/2001.2/Direito Contratual I.pdf
diarios,dataset/Ciências Jurídicas/Diários/2001.2/Direito das Coisas.pdf
diarios,dataset/Ciências Jurídicas/Diários/2001.2/Direito das Sucessões.pdf
diarios,dataset/Ciências Jurídicas/Diários/2001.2/Direito do Trabalho I.pdf
diarios,dataset/Ciências Jurídicas/Diários/2001.2/Direito Notarial.pdf
diarios,dataset/Ciências Jurídicas/Diários/2001.2/Direito Processual Avançado.pdf
diarios,dataset/Ciências Jurídicas/Diários/2001.2/Direito Processual Civil III.pdf
diarios,dataset/Ciências Jurídicas/Diários/2001.2/Direito Processual do Trabalho.pdf
diarios,dataset/Ciências Jurídicas/Diários/2001.2/Direito Processual Penal II.pdf
diarios,dataset/Ciências Jurídicas/Diários/2001.2/Monografia.pdf
diarios,dataset/Ciências Jurídicas/Diários/2001.2/Prática do Direito Administrativo.pdf
diarios,dataset/Ciências Jurídicas/Diários/2001.2/Prática do Direito do Trabalho.pdf
diarios,dataset/Ciências Jurídicas/Diários/2001.2/Sociologia Jurídica.pdf
diarios,dataset/Ciências Jurídicas/Diários/2001.2/Teoria Geral do Direito Civil.pdf
diarios,dataset/Ciências Jurídicas/Diários/2001.3/Direito das Sucessões.pdf
diarios,dataset/Ciências Jurídicas/Diários/2001.3/Direito Notarial.pdf
diarios,dataset/Ciências Jurídicas/Diários/2001.3/Direito Penal I.pdf
diarios,dataset/Ciências Jurídicas/Diários/2001.3/Teoria Geral do Processo.pdf
diarios,dataset/Ciências Jurídicas/Diários/2002.1/Direito Constitucional I.pdf
diarios,dataset/Ciências Jurídicas/Diários/2002.1/Direito Intercional Pública.pdf
diarios,dataset/Ciências Jurídicas/Diários/2002.1/Direito Processual Civil II.pdf
diarios,dataset/Ciências Jurídicas/Diários/2002.1/Direito Romano.pdf
diarios,dataset/Ciências Jurídicas/Diários/2002.1/Metodologia da Pesquisa Geral e Jurídica.pdf
diarios,dataset/Ciências Jurídicas/Diários/2002.1/Sociologia Geral.pdf
diarios,dataset/Ciências Jurídicas/Diários/2002.2/Ciências Politicas.pdf
diarios,dataset/Ciências Jurídicas/Diários/2002.2/Direito Administrativo III.pdf
diarios,dataset/Ciências Jurídicas/Diários/2002.2/Direito Civil III.pdf
diarios,dataset/Ciências Jurídicas/Diários/2002.2/Direito Comercial II.pdf
diarios,dataset/Ciências Jurídicas/Diários/2002.2/Direito das Coisas.pdf
diarios,dataset/Ciências Jurídicas/Diários/2002.2/Direito das Sucesões.pdf
diarios,dataset/Ciências Jurídicas/Diários/2002.2/Direito do Trabalho I.pdf
diarios,dataset/Ciências Jurídicas/Diários/2002.2/Direito Internacional Privado.pdf
diarios,dataset/Ciências Jurídicas/Diários/2002.2/Direito Penal III.pdf
diarios,dataset/Ciências Jurídicas/Diários/2002.2/Direito Processual Avançado.pdf
diarios,dataset/Ciências Jurídicas/Diários/2002.2/Direito Processual Civil I.pdf
diarios,dataset/Ciências Jurídicas/Diários/2002.2/Direito Processual do Trabalho.pdf
diarios,dataset/Ciências Jurídicas/Diários/2002.2/Direito Processual Penal II.pdf
diarios,dataset/Ciências Jurídicas/Diários/2002.2/Medicina Legal.pdf
diarios,dataset/Ciências Jurídicas/Diários/2002.2/Monografia II.pdf
diarios,dataset/Ciências Jurídicas/Diários/2002.2/Prática do Direito Administrativo..pdf
diarios,dataset/Ciências Jurídicas/Diários/2002.2/Sociologia Juridica.pdf
diarios,dataset/Ciências Jurídicas/Diários/2002.3/Direito Administrativo II.pdf
diarios,dataset/Ciências Jurídicas/Diários/2002.3/Direito Processual Civil I.pdf
diarios,dataset/Ciências Jurídicas/Diários/2002.3/Filosofia do Direito.pdf
diarios,dataset/Ciências Jurídicas/Diários/2002.3/Introdução ao Estudo do Direito.pdf
diarios,dataset/Ciências Jurídicas/Diários/2002.3/Metodologia da Pesquisa.pdf
diarios,dataset/Ciências Jurídicas/Diários/2002.3/Prática do Direito Penal.pdf
diarios,dataset/Ciências Jurídicas/Diários/2002.3/Sociologia Geral..pdf
diarios,dataset/Ciências Sociais/Diários/2014.1/2014.1_Ciências Sociais_Diários_Antropologia 1.pdf
diarios,dataset/Ciências Sociais/Diários/2014.1/2014.1_Ciências Sociais_Diários_Ciência Política 1.pdf
diarios,dataset/Ciências Sociais/Diários/2014.1/2014.1_Ciências Sociais_Diários_Formação Econômica e Social Brasileira.pdf
diarios,dataset/Ciências Sociais/Diários/2014.1/2014.1_Ciências Sociais_Diários_Leitura e Produção de Texto.pdf
diarios,dataset/Ciências Sociais/Diários/2014.1/2014.1_Ciências Sociais_Diários_Sociologia 1.pdf
diarios,dataset/Ciências Sociais/Diários/2014.2/2014.2_Ciências Sociais_Diários_Antropologia 2.pdf
diarios,dataset/Ciências Sociais/Diários/2014.2/2014.2_Ciências Sociais_Diários_Ciência Política 2.pdf
diarios,dataset/Ciências Sociais/Diários/2014.2/2014.2_Ciências Sociais_Diários_Epistemologia das Ciências Sociais.pdf
diarios,dataset/Ciências Sociais/Diários/2014.2/2014.2_Ciências Sociais_Diários_Introdução a Economia.pdf
diarios,dataset/Ciências Sociais/Diários/2014.2/2014.2_Ciências Sociais_Diários_Sociologia  2.pdf
diarios,dataset/Ciências Sociais/Diários/2015.1/2015.1_Ciências Sociais_Diários_Antropologia I.pdf
diarios,dataset/Ciências Sociais/Diários/2015.1/2015.1_Ciências Sociais_Diários_Antropologia III.pdf
diarios,dataset/Ciências Sociais/Diários/2015.1/2015.1_Ciências Sociais_Diários_Ciência Política I.pdf
diarios,dataset/Ciências Sociais/Diários/2015.1/2015.1_Ciências Sociais_Diários_Filosofia da Educação.pdf
diarios,dataset/Ciências Sociais/Diários/2015.1/2015.1_Ciências Sociais_Diários_Formação Econômica e Social  Brasileira.pdf
diarios,dataset/Ciências Sociais/Diários/2015.1/2015.1_Ciências Sociais_Diários_Leitura e Produção de Texto.pdf
diarios,dataset/Ciências Sociais/Diários/2015.1/2015.1_Ciências Sociais_Diários_Política Educacional.pdf
diarios,dataset/Ciências Sociais/Diários/2015.1/2015.1_Ciências Sociais_Diários_Sociologia I.pdf
diarios,dataset/Ciências Sociais/Diários/2015.1/2015.1_Ciências Sociais_Diários_Sociologia III.pdf
diarios,dataset/Ciências Sociais/Diários/2015.2/2015.2_Ciências Sociais_Diários_Antropologia II.pdf
diarios,dataset/Ciências Sociais/Diários/2015.2/2015.2_Ciências Sociais_Diários_Epistemologia das Ciências Sociais.pdf
diarios,dataset/Ciências Sociais/Diários/2015.2/2015.2_Ciências Sociais_Diários_Pensamento Social Brasileiro.pdf
diarios,dataset/Ciências Sociais/Diários/2015.2/2015.2_Ciências Sociais_Diários_Prática em Métodos Qualitativos.pdf
diarios,dataset/Ciências Sociais/Diários/2015.2/2015.2_Ciências Sociais_Diários_Sociologia da Religião.pdf
diarios,dataset/Ciências Sociais/Diários/2015.2/2015.2_Ciências Sociais_Diários_Sociologia da Saúde.pdf
diarios,dataset/Ciências Sociais/Diários/2015.2/2015.2_Ciências Sociais_Diários_Sociologia II.pdf
diarios,dataset/Ciências Sociais/Diários/2016.2/2016.2_Ciências Sociais_Diários_antropologia 2.pdf
diarios,dataset/Ciências Sociais/Diários/2016.2/2016.2_Ciências Sociais_Diários_Antropologia da cultura negra e indígina.pdf
diarios,dataset/Ciências Sociais/Diários/2016.2/2016.2_Ciências Sociais_Diários_Ciência política 2.pdf
diarios,dataset/Ciências Sociais/Diários/2016.2/2016.2_Ciências Sociais_Diários_didatica.pdf
diarios,dataset/Ciências Sociais/Diários/2016.2/2016.2_Ciências Sociais_Diários_epistemologia das ciências sociais.pdf
diarios,dataset/Ciências Sociais/Diários/2016.2/2016.2_Ciências Sociais_Diários_gestão e organização escolar.pdf
diarios,dataset/Ciências Sociais/Diários/2016.2/2016.2_Ciências Sociais_Diários_introodução á arqueologia.pdf
diarios,dataset/Ciências Sociais/Diários/2016.2/2016.2_Ciências Sociais_Diários_pensamento social brasileiro.pdf
diarios,dataset/Ciências Sociais/Diários/2016.2/2016.2_Ciências Sociais_Diários_prat em assess plan e gestão de projetos.pdf
diarios,dataset/Ciências Sociais/Diários/2016.2/2016.2_Ciências Sociais_Diários_prática em métodos qualitativos.pdf
diarios,dataset/Ciências Sociais/Diários/2016.2/2016.2_Ciências Sociais_Diários_sociologia 2.pdf
diarios,dataset/Ciências Sociais/Diários/2016.2/2016.2_Ciências Sociais_Diários_sociologia brasileira.pdf
diarios,dataset/Ciências Sociais/Diários/2016.2/2016.2_Ciências Sociais_Diários_sociologia da educação.pdf
diarios,dataset/Ciências Sociais/Diários/2016.2/2016.2_Ciências Sociais_Diários_sociologia da saúde.pdf
diarios,dataset/Ciências Sociais/Diários/2017.2/2017.2_Ciências Sociais_Diários_Antrop.Cultura Negra Indig..pdf
diarios,dataset/Ciências Sociais/Diários/2017.2/2017.2_Ciências Sociais_Diários_Antropologia II.pdf
diarios,dataset/Ciências Sociais/Diários/2017.2/2017.2_Ciências Sociais_Diários_Ciência Política III.pdf
diarios,dataset/Ciências Sociais/Diários/2017.2/2017.2_Ciências Sociais_Diários_Ciência PolíticaII.pdf
diarios,dataset/Ciências Sociais/Diários/2017.2/2017.2_Ciências Sociais_Diários_Didática.pdf
diarios,dataset/Ciências Sociais/Diários/2017.2/2017.2_Ciências Sociais_Diários_Epistemologia Ciênc.Sociais.pdf
diarios,dataset/Ciências Sociais/Diários/2017.2/2017.2_Ciências Sociais_Diários_Gestão e Org.Escolar.pdf
diarios,dataset/Ciências Sociais/Diários/2017.2/2017.2_Ciências Sociais_Diários_Introdução a Arqueologia.pdf
diarios,dataset/Ciências Sociais/Diários/2017.2/2017.2_Ciências Sociais_Diários_Introdução à Economia.pdf
diarios,dataset/Ciências Sociais/Diários/2017.2/2017.2_Ciências Sociais_Diários_Libras.pdf
diarios,dataset/Ciências Sociais/Diários/2017.2/2017.2_Ciências Sociais_Diários_Política Brasileira.pdf
diarios,dataset/Ciências Sociais/Diários/2017.2/2017.2_Ciências Sociais_Diários_Prat.Assess.P.Gestão Proj..pdf
diarios,dataset/Ciências Sociais/Diários/2017.2/2017.2_Ciências Sociais_Diários_Prát.Ped.Interd. II Soc. Política.pdf
diarios,dataset/Ciências Sociais/Diários/2017.2/2017.2_Ciências Sociais_Diários_Prática em Métodos Qualitativos.pdf
diarios,dataset/Ciências Sociais/Diários/2017.2/2017.2_Ciências Sociais_Diários_Sociologia da Educação.pdf
diarios,dataset/Ciências Sociais/Diários/2017.2/2017.2_Ciências Sociais_Diários_Sociologia II.pdf
diarios,dataset/Ciências Sociais/Diários/2017.2/2017.2_Ciências Sociais_Diários_Tóp.Especiais Sociologia.pdf
diarios,dataset/Ciências Sociais/Diários/2017.2/2017.2_Ciências Sociais_Diários_Tópicos Esp.Sociologia.pdf
diarios,dataset/Computação/Diários/2012.1/2012.1_Computação_Diários_Física I.pdf
diarios,dataset/Computação/Diários/2012.1/2012.1_Computação_Diários_Análise de sistemas I.pdf
diarios,dataset/Computação/Diários/2012.1/2012.1_Computação_Diários_Calculo diferencial e Integral II.pdf
diarios,dataset/Computação/Diários/2012.1/2012.1_Computação_Diários_Circuitos Digitais.pdf
diarios,dataset/Computação/Diários/2012.1/2012.1_Computação_Diários_Computação Gráfica.pdf
diarios,dataset/Computação/Diários/2012.1/2012.1_Computação_Diários_Cálculo Numérico.pdf
diarios,dataset/Computação/Diários/2012.1/2012.1_Computação_Diários_Direito e Legislação.pdf
diarios,dataset/Computação/Diários/2012.1/2012.1_Computação_Diários_Engenharia de Software.pdf
diarios,dataset/Computação/Diários/2012.1/2012.1_Computação_Diários_Equações diferencias.pdf
diarios,dataset/Computação/Diários/2012.1/2012.1_Computação_Diários_Estatística.pdf
diarios,dataset/Computação/Diários/2012.1/2012.1_Computação_Diários_Estruturas de dados.pdf
diarios,dataset/Computação/Diários/2012.1/2012.1_Computação_Diários_Fisica II.pdf
diarios,dataset/Computação/Diários/2012.1/2012.1_Computação_Diários_Gestão em Tecnologia da Informação.pdf
diarios,dataset/Computação/Diários/2012.1/2012.1_Computação_Diários_Introdução á metodologia cientifica.pdf
diarios,dataset/Computação/Diários/2012.1/2012.1_Computação_Diários_Linguagens Formais e Autõmatos Finitos.pdf
diarios,dataset/Computação/Diários/2012.1/2012.1_Computação_Diários_Memo 027.pdf
diarios,"dataset/Computação/Diários/2012.1/2012.1_Computação_Diários_Organização, sistemas e Métados.pdf"
diarios,dataset/Computação/Diários/2012.1/2012.1_Computação_Diários_Programação I.pdf
diarios,dataset/Computação/Diários/2012.1/2012.1_Computação_Diários_Programação II.pdf
diarios,dataset/Computação/Diários/2012.1/2012.1_Computação_Diários_Redes de Computadores I.pdf
diarios,dataset/Computação/Diários/2012.1/2012.1_Computação_Diários_Segurança e Auditoria de Sistemas.pdf
diarios,dataset/Computação/Diários/2012.1/2012.1_Computação_Diários_Sistemas Distribuídos.pdf
diarios,dataset/Computação/Diários/2012.1/2012.1_Computação_Diários_Sistemas Operacionais II.pdf
diarios,dataset/Computação/Diários/2012.1/2012.1_Computação_Diários_Telecomunicações.pdf
diarios,dataset/Computação/Diários/2012.1/2012.1_Computação_Diários_Álgebra.pdf
diarios,dataset/Computação/Diários/2002.2/.ppinfocache
diarios,dataset/Computação/Diários/2002.2/MaxDesk.ini
diarios,dataset/Computação/Diários/2002.2/maxdesk.ini2
diarios,dataset/Computação/Diários/2002.2/PP11Thumbs.ptn
diarios,dataset/Computação/Diários/2002.2/PP11Thumbs.ptn2
diarios,dataset/Computação/Diários/2002.2/PSICOLOGIA DA EDUCAÇÃO.pdf
diarios,dataset/Computação/Diários/2003.1/(1).ppinfocache
diarios,dataset/Computação/Diários/2003.1/.ppinfocache
diarios,dataset/Computação/Diários/2003.1/ALGEBRA LINERA E GEOMETRIA ANÁLITICA.pdf
diarios,dataset/Computação/Diários/2003.1/CALCULO DIFERENCIAL E INTEGRAL I.pdf
diarios,dataset/Computação/Diários/2003.1/FÍSICA III.pdf
diarios,dataset/Computação/Diários/2003.1/INGLÊS TECNICO .pdf
diarios,dataset/Computação/Diários/2003.1/INGLÊS TECNICO.pdf
diarios,dataset/Computação/Diários/2003.1/INTRODUÇÃO A COMPUTAÇÃO .pdf
diarios,dataset/Computação/Diários/2003.1/INTRODUÇÃO A COMPUTAÇÃO.pdf
